model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
hp 14s-fq0568au laptop,hewlett packard,amd athlon 3050u,8,256,1000,Windows,AMD Radeon AMD,14.0,1366 x 768,2,2,50,25758,False,True
hp 15s-du3614tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,61,40390,False,True
hp 15s-eq1560au laptop,hewlett packard,amd ryzen 3 3250u,8,512,1000,Windows,AMD Radeon,15.6,1920 x 1080,2,4,61,37990,False,True
dell inspiron 3525 laptop,dell,amd ryzen 3 5425u,8,512,1000,Windows,AMD Radeon Radeon Graphics,15.6,1920 x 1080,4,8,63,40663,False,True
lenovo ideapad gaming 3 82k10198in laptop,lenovo,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4,8,68,54451,True,False
acer predator helios 500 ph517-52 gaming laptop,acer,11th gen core i9,64,2000,1000,Windows,16 GB NVIDIA GeForce RTX 3080,17.29,3840 x 2160,8,16,97,432159,True,False
lenovo ideapad gaming 3 82k201unin laptop,lenovo,ryzen 7 5800h,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,75,90700,True,False
lenovo ideapad slim 3 82h701dnin laptop,lenovo,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,2,4,48,37700,False,True
dell vostro 5625 laptop,dell,amd ryzen 5 5625u,8,512,1000,Windows,AMD Radeon Graphics,16.0,1920 x 1200,6,12,71,57990,False,True
hp pavilion 14-eh0024tu laptop,hewlett packard,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,14,20,74,91990,False,True
dell xps 13 plus 9320 laptop,dell,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,13.39,3840 x 2400,12,16,71,178500,False,True
asus zenbook pro duo 15 oled 2022 ux582zm-h701ws laptop,asus,12th gen core i7,32,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,3840 x 2160,14,20,91,199990,False,True
dell alienware x14 gaming laptop,dell,12th gen core i7,16,512,1000,Windows,4 GB NVIDIA GEFORCE RTX 3050 Ti,15.6,1920 x 1080,14,20,76,169990,True,False
hp victus 15-fa0354tx laptop,hewlett packard,12th gen core i7,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,10,16,63,94699,False,True
hp 15s-fq2671tu laptop,hewlett packard,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,55,41500,False,True
